"PROPERTYZIP.x","SALEYEAR","emmean","SE","df","lower.CL","upper.CL","adjusted_price"
15223,2014,466.546899484093,41.0104159017089,140620,386.167269470714,546.926529497471,217666.00941822
15224,2014,552.560983024933,40.9988392020898,140620,472.204043121169,632.917922928696,305323.63996148
15226,2014,463.936243516667,40.9571342995403,140620,383.661044423451,544.211442609884,215236.838048356
15227,2014,444.311813268326,40.9330131785716,140620,364.083891110404,524.539735426249,197412.987409788
15228,2014,547.332422646124,40.9590404269085,140620,467.053487579759,627.611357712489,299572.780879675
15229,2014,492.875511266118,40.9552348874066,140620,412.604034984318,573.146987547917,242926.269605837
15232,2014,666.206724873815,41.009723213225,140620,585.828452516603,746.584997231027,443831.400267095
15233,2014,470.042722505041,41.2240099493734,140620,389.244452247548,550.840992762534,220940.160979951
15234,2014,470.734509240974,40.9531562515575,140620,390.467107045643,551.001911436305,221590.97819034
15235,2014,386.598080727871,40.9176218863462,140620,306.40032520804,466.795836247702,149458.076022474
15236,2014,461.025064686699,40.9294125759149,140620,380.804199641049,541.245929732348,212544.110269375
15237,2014,483.167803025144,40.9152525523724,140620,402.974691354541,563.360914695748,233451.125880145
15238,2014,518.720398205728,40.9405324914166,140620,438.477738338588,598.963058072868,269070.851514709
15239,2014,435.408092016466,40.9487735432372,140620,355.149279845535,515.666904187397,189580.206593419
15241,2014,482.432208016406,40.9484662284201,140620,402.173998176632,562.690417856179,232740.835331585
15243,2014,512.811097582329,40.9594627286492,140620,432.531334812637,593.09086035202,262975.221803593
15201,2015,583.778380515774,40.9617016765553,140620,503.494229451052,664.062531580497,340797.19755762
15202,2015,482.505604596267,40.94755107878,140620,402.249188432267,562.762020760266,232811.658466809
15203,2015,572.058489933514,40.9920048996109,140620,491.714945131765,652.402034735263,327250.915905012
15204,2015,404.065059554907,40.9854581541881,140620,323.734346248848,484.395772860967,163268.572353111
15205,2015,469.983211283961,40.9423026263967,140620,389.73708198615,550.229340581772,220884.218888784
15206,2015,540.954815565639,40.9511830563417,140620,460.691280795154,621.218350336125,292632.112483655
15207,2015,463.672679474894,40.9704771661333,140620,383.371328618607,543.97403033118,214992.353691427
15208,2015,509.874103740361,41.0052642495176,140620,429.504570866648,590.243636614074,259971.601665036
15209,2015,479.493080427958,40.9652207085023,140620,399.202032127992,559.784128727924,229913.614178292
15210,2015,407.977176293072,40.9438156002757,140620,327.728081595424,488.226270990719,166445.376376068
15211,2015,520.057651031734,40.9758247629898,140620,439.74581898799,600.369483075478,270459.960396645
15212,2015,470.423072742589,40.9385988812136,140620,390.184202714428,550.66194277075,221297.867368579
15213,2015,581.747814208812,40.9770886954526,140620,501.433504881639,662.062123535986,338430.519336731
15214,2015,438.354512349821,40.9624648231338,140620,358.068865532415,518.640159167227,192154.678497449
15215,2015,543.330797117927,40.9629873578584,140620,463.044126142466,623.617468093389,295208.355096802
15216,2015,502.233613912512,40.9470495517044,140620,421.978180731979,582.489047093045,252238.602943622
15217,2015,626.699457362522,40.9487068612168,140620,546.440775887075,706.95813883797,392752.20985848
15218,2015,502.507768821355,40.9519057920128,140620,422.242817502792,582.772720139919,252514.057725817
15219,2015,460.33828942452,41.0041314372521,140620,379.970976841159,540.70560200788,211911.340710293
15220,2015,461.246222750067,40.9533812397903,140620,380.978379582107,541.514065918027,212748.078001204
15221,2015,432.54742401768,40.9307376581985,140620,352.323961836124,512.770886199237,187097.274024331
15222,2015,601.078731086977,41.3600876342044,140620,520.013751172454,682.1437110015,361295.640965131
15223,2015,479.973795776311,41.0094536124786,140620,399.596051831401,560.351539721222,230374.84463192
15224,2015,565.987879317151,40.9976055724373,140620,485.633357303889,646.342401330414,320342.279533926
15226,2015,477.363139808886,40.955936682364,140620,397.090288022406,557.635991595366,227875.567248198
15227,2015,457.738709560545,40.9319030140076,140620,377.512963303914,537.964455817176,209524.726230153
15228,2015,560.759318938342,40.9579470634943,140620,480.482526843336,641.036111033348,314451.013776194
15229,2015,506.302407558336,40.9542982913785,140620,426.032766986821,586.572048129852,256342.127899368
15232,2015,679.633621166034,41.0084296782612,140620,599.257884112586,760.009358219481,461901.859019256
15233,2015,483.46961879726,41.2234146130141,140620,402.672515387633,564.266722206886,233742.872299968
15234,2015,484.161405533192,40.9519087139227,140620,403.896448487741,564.426362578644,234412.266607876
15235,2015,400.02497702009,40.9168380562059,140620,319.828757792328,480.221196247852,160019.982239923
15236,2015,474.451960978917,40.9282639189831,140620,394.233347278863,554.670574678972,225104.66327674
15237,2015,496.594699317363,40.9141759221723,140620,416.403697821339,576.785700813386,246606.295390102
15238,2015,532.147294497947,40.9393033059431,140620,451.907043810802,612.387545185091,283180.743041484
15239,2015,448.834988308685,40.9476615448156,140620,368.57835563337,529.091620983999,201452.846730057
15241,2015,495.859104308624,40.9473175889968,140620,415.60314578013,576.115062837119,245876.251325751
15243,2015,526.237993874547,40.9585788012837,140620,445.959963585569,606.516024163526,276926.426197108
15201,2016,586.984502129553,40.9601944432019,140620,506.703305213346,667.265699045759,344550.805740279
15202,2016,485.711726210045,40.9453264524156,140620,405.459670271129,565.963782148961,235915.880977942
15203,2016,575.264611547292,40.9901488192989,140620,494.92470462742,655.604518467165,330929.373298657
15204,2016,407.271181168686,40.9836789126803,140620,326.943955141917,487.598407195454,165869.815010536
15205,2016,473.189332897739,40.9406048344054,140620,392.946531239726,553.432134555752,223908.144768207
15206,2016,544.160937179417,40.9493411088349,140620,463.901012590781,624.420861768054,296111.125551982
15207,2016,466.878801088672,40.9687426136604,140620,386.580849922024,547.17675225532,217975.814905996
15208,2016,513.080225354139,41.0035461186881,140620,432.714059983958,593.44639072432,263251.317649454
15209,2016,482.699202041736,40.9634319729425,140620,402.411659629222,562.986744454251,232998.519651729
15210,2016,411.18329790685,40.9418004096516,140620,330.938152944244,491.428442869456,169071.704477553
15211,2016,523.263772645512,40.9737593833048,140620,442.955988706408,603.571556584616,273804.975763214
15212,2016,473.629194356367,40.9369316426348,140620,393.393592083901,553.864796628833,224324.613746661
15213,2016,584.953935822591,40.975401986964,140620,504.642932411763,665.264939233419,342171.10703434
15214,2016,441.560633963599,40.9604858869955,140620,361.278865823137,521.842402104061,194975.793466336
15215,2016,546.536918731706,40.9615280819205,140620,466.253107909144,626.820729554268,298702.603536747
15216,2016,505.43973552629,40.9452001133649,140620,425.187927209495,585.691543843086,255469.326248886
15217,2016,629.905578976301,40.9470467132828,140620,549.65015135902,710.161006593582,396781.038425469
15218,2016,505.713890435134,40.9500703732601,140620,425.452536502186,585.975244368081,255746.538979038
15219,2016,463.544411038298,41.0021073220365,140620,383.181065682008,543.907756394588,214873.421004843
15220,2016,464.452344363845,40.9517395421074,140620,384.187718891913,544.716969835777,215715.980185072
15221,2016,435.753545631459,40.9288348900604,140620,355.533812839024,515.973278423893,189881.152530388
15222,2016,604.284852700755,41.3586627294115,140620,523.222665572347,685.347039829164,365160.183203574
15223,2016,483.17991739009,41.0071826456299,140620,402.806624496725,563.553210283455,233462.832569094
15224,2016,569.19400093093,40.9960120019087,140620,488.842602285394,649.545399576466,323981.810695759
15226,2016,480.569261422664,40.9541034983502,140620,400.300002641755,560.838520203574,230946.815024325
15227,2016,460.944831174323,40.930063843466,140620,380.722689656742,541.166972691904,212470.137386325
15228,2016,563.965440552121,40.9565453932353,140620,483.691395703987,644.239485400254,318057.018137148
15229,2016,509.508529172115,40.9523776370731,140620,429.242653046266,589.774405297963,259598.941299132
15232,2016,682.839742779812,41.0069967539154,140620,602.466814230648,763.212671328975,466270.1143196
15233,2016,486.675740411038,41.2217196456088,140620,405.881959105075,567.469521717001,236853.276304632
15234,2016,487.367527146971,40.9502973605423,140620,407.105728323295,567.629325970646,237527.106517353
15235,2016,403.231098633868,40.9148003114449,140620,323.038873346824,483.423323920912,162595.318905476
15236,2016,477.658082592695,40.9264915639551,140620,397.442942674563,557.873222510827,228157.24386613
15237,2016,499.800820931141,40.9126571065103,140620,419.612796284737,579.988845577545,249800.860603443
15238,2016,535.353416111725,40.9376265106192,140620,455.116451911313,615.590380312137,286603.280142494
15239,2016,452.041109922463,40.9456380426891,140620,371.788443272576,532.29377657235,204341.165059932
15241,2016,499.065225922403,40.9460766805535,140620,418.811699550699,579.318752294106,249066.099724979
15243,2016,529.444115488325,40.956607558239,140620,449.169948797975,609.718282178676,280311.071425215
15201,2017,606.059880704768,40.9586896532463,140620,525.781633148065,686.338128261471,367308.578999878
15202,2017,504.787104785261,40.9439004153319,140620,424.537843851727,585.036365718795,254810.021157486
15203,2017,594.339990122508,40.9888701372104,140620,514.002589395048,674.677390849968,353240.023858823
15204,2017,426.346559743901,40.9819785200753,140620,346.022666454084,506.670453033718,181771.38900546
15205,2017,492.264711472955,40.9385932329028,140620,412.025852515374,572.503570430535,242324.546161551
15206,2017,563.236315754633,40.9478583860912,140620,482.979297274187,643.493334235079,317235.147384853
15207,2017,485.954179663887,40.967160837758,140620,405.659328747724,566.24903058005,236151.464732802
15208,2017,532.155603929355,41.0014292226882,140620,451.793587634805,612.517620223905,283189.586793416
15209,2017,501.774580616952,40.961705489071,140620,421.490422079772,582.058739154132,251777.729753318
15210,2017,430.258676482066,40.9399069787431,140620,350.017242607791,510.500110356341,185122.528688099
15211,2017,542.339151220728,40.9722185572549,140620,462.034387271182,622.643915170273,294131.754946819
15212,2017,492.704572931583,40.9349104491722,140620,412.472932159607,572.936213703559,242757.796187693
15213,2017,604.029314397806,40.973826134212,140620,523.721399628202,684.33722916741,364851.412651884
15214,2017,460.636012538815,40.958509883737,140620,380.358117326909,540.913907750721,212185.536047659
15215,2017,565.612297306921,40.9596963955964,140620,485.332076554487,645.892518059356,319917.270864813
15216,2017,524.515114101506,40.9436740131219,140620,444.266296911969,604.763931291043,275116.104920916
15217,2017,648.980957551516,40.94519856849,140620,568.729152262646,729.232762840387,421176.283264483
15218,2017,524.789269010349,40.9482924328286,140620,444.531399806608,605.04713821409,275403.776868417
15219,2017,482.619789613514,41.0000123210727,140620,402.260550419003,562.979028808024,232921.861326592
15220,2017,483.527722939061,40.9500193127494,140620,403.266469083736,563.788976794386,233799.058850633
15221,2017,454.828924206674,40.927123380088,140620,374.612545941018,535.04530247233,206869.350295001
15222,2017,623.360231275971,41.357255102078,140620,542.300803070186,704.419659481756,388577.977936432
15223,2017,502.255295965305,41.0055020049954,140620,421.885297095408,582.625294835203,252260.382325196
15224,2017,588.269379506145,40.9943127160135,140620,507.92131142843,668.61744758386,346060.862864545
15226,2017,499.64463999788,40.952274784558,140620,419.378965460992,579.910314534768,249644.766278611
15227,2017,480.020209749539,40.9283487334625,140620,399.801429814728,560.238989684349,230419.401767991
15228,2017,583.040819127336,40.9547625705887,140620,502.770268577457,663.311369677215,339936.596768675
15229,2017,528.58390774733,40.9512023410155,140620,448.320335179253,608.847480315407,279400.947529438
15232,2017,701.915121355028,41.0053485904831,140620,621.545423174637,782.284819535418,492684.837586843
15233,2017,505.751118986254,41.2192406249916,140620,424.962196513239,586.540041459268,255784.194355848
15234,2017,506.442905722186,40.9484078213427,140620,426.184810359166,586.701001085206,256484.416756331
15235,2017,422.306477209084,40.9128303357724,140620,342.118113036642,502.494841381525,178342.760692746
15236,2017,496.733461167911,40.9248108228894,140620,416.52161547009,576.945306865732,246744.131443853
15237,2017,518.876199506357,40.9109298277883,140620,438.691560293179,599.060838719535,269232.51041416
15238,2017,554.42879468694,40.936044941587,140620,474.194930331552,634.662659042329,307391.288378014
15239,2017,471.116488497679,40.9438999665925,140620,390.867228443665,551.365748551692,221950.745734383
15241,2017,518.140604497618,40.9441588483432,140620,437.89083704033,598.390371954906,268469.686029157
15243,2017,548.519494063541,40.9552630454414,140620,468.247962592533,628.791025534549,300873.635367723
15201,2018,611.075443947789,40.9621715376482,140620,530.79037196432,691.360515931258,373413.198195987
15202,2018,509.802668028281,40.9470803597854,140620,429.547174464499,590.058161592063,259898.760328754
15203,2018,599.355553365529,40.9918799625054,140620,519.012253438114,679.698853292943,359227.079350099
15204,2018,431.362122986922,40.9852936585773,140620,351.03173208911,511.692513884733,186073.281147784
15205,2018,497.280274715975,40.9420063330136,140620,417.034726147522,577.525823284428,247287.671621596
15206,2018,568.251878997654,40.9512719635881,140620,487.988169970667,648.51558802464,322910.197984364
15207,2018,490.969742906908,40.9708232432036,140620,410.667713746189,571.271772067627,241051.288450075
15208,2018,537.171167172375,41.0051378010366,140620,456.801882135264,617.540452209486,288552.862841332
15209,2018,506.790143859973,40.9649964423893,140620,426.499535117294,587.080752602651,256836.249913612
15210,2018,435.274239725086,40.9432608555019,140620,355.026232316575,515.522247133598,189463.663768252
15211,2018,547.354714463748,40.9757476435076,140620,467.043033572713,627.666395354784,299597.183445691
